Id,Name,Active__c,Description__c,FieldsetName__c,FilterCondition__c,ObjectType__c,ProductType__c,DisplayOrder__c
a0Q1j000008hbmnEAA,Úvěrové případy splacené do roku,true,Úvěrové případy s předpokládaným splacením do roku,CustomSearchLoanCases,ProductType__c = '0' AND StateCode__c = '1' AND PlanCreditPayment__c = NEXT_n_MONTHS: 12,Asset,CreditCases,
a0Q1j000008hbmoEAA,Všechny ŽP,true,Všechny ŽP (včetně vypovězených),CustomSearchZP,,Asset,InvestmentLifeInsurance,
a0Q1j000008hbmpEAA,Smlouvy po vázací lhůtě,true,Nevypovězené smlouvy po vázací lhůtě,Search_Component_StSp,BindingPeriodDate__c < today AND ContractTerminationDelivered__c = null AND HasLoanCaseRelatedAsset__c != true,Asset,BuildingSavings,
a0Q1j000008hbmqEAA,Klienti bez AML,true,Klienti s neaktualizovaným AML dotazníkem,Search_Component_Acc,PersonType__c = '1' AND AccountStatus__c != '5' AND NextAmlReviewDate__c < today,Account,PersonAccount,
a0Q1j000008hbmrEAA,Všechny úvěry a meziúvěry,true,Všechny aktivní smlouvy,CustomSearchMUU,"ProductSubtype__c IN ('1001','2002') AND StateCode__c = '1'",Asset,CreditAndIntermediateLoan,
a0Q1j000008hbmsEAA,Meziúvěry přidělené do roku,true,MÚ smlouvy s předpokládaným překlopením do roku,CustomSearchMUU,FlipEstimate__c = NEXT_n_MONTHS: 12  AND ProductSubtype__c IN ('2002') AND Status__c IN ('0000'),Asset,CreditAndIntermediateLoan,
a0Q1j000008hbmtEAA,Dotázané smlouvy,true,SS se splněnou podmínkou pro přijetí přidělení,Search_Component_StSp,AssignmentConditionsDate__c != null AND HasLoanCaseRelatedAsset__c != true AND ContractTerminated__c != true,Asset,BuildingSavings,
a0Q1j000008hbmuEAA,Všechny PMO,true,Všechny smlouvy (včetně vypovězených),CustomSearchPMO,,Asset,PMO,
a0Q1j000008hbmvEAA,Všechny úvěry,true,Všechny aktivní úvěrové smlouvy,CustomSearchMUU,ProductSubtype__c IN ('1001') AND StateCode__c = '1',Asset,CreditAndIntermediateLoan,
a0Q1j000008hbmwEAA,Všechny meziúvěry,true,Všechny aktivní meziúvěrové smlouvy,CustomSearchMUU,ProductSubtype__c IN ('2002') AND StateCode__c = '1',Asset,CreditAndIntermediateLoan,
a0Q1j000008hbmxEAA,SS s nesplněnou podmínkou provize,true,"Uzavřené SS bez vkladu 0,5 %",Search_Component_StSp,CommissionDate__c = null AND (Status__c = '11001' OR Status__c = '11008'),Asset,BuildingSavings,
a0Q1j000008hbn1EAA,Nevypovězené smlouvy s naspořením > 80%,true,Smlouvy SS bez MÚ,Search_Component_StSp,ContractTerminated__c = false AND PercentageSaved__c > 80 AND HasLoanCaseRelatedAsset__c != true,Asset,BuildingSavings,
a0Q1j000008hbmyEAA,Účty bez splněné podmínky (Kvalita účtu),true,,CustomSearchCSOBProducts,ConditionFullfillmentDate__c = null,Asset,CSOBCurrentAccount,
a0Q1j000008hbmzEAA,Klienti s předschváleným limitem MÚ,true,Všichni klienti s předschváleným limitem MÚ (akce limit),Search_Component_Acc,PreapprovedLimit__c > 0.00,Account,PersonAccount,
a0Q1j000008hbn0EAA,Smlouvy se ZVSP méně než 20 tisíc,true,S nižší základnou pro výpočet SP než 20 000 Kč letos,Search_Component_StSp,SubveneBaseCurrentYear__c < 20000 AND HasLoanCaseRelatedAsset__c != true,Asset,BuildingSavings,
a0Q1j000008hbn2EAA,Stavební spoření bez ÚP,true,Všechny SS bez MÚ,Search_Component_StSp,HasLoanCaseRelatedAsset__c != true,Asset,BuildingSavings,
a0Q1j000008hbn3EAA,Klienti s BÚ - nepřihlášeni do Smart za posl. 92 dní,false,(čeká se na data ČSOB SMART mimo síť),Search_Component_Acc,CurrentAccountCount__c > 0 AND SmartLoginIn92Days__c = false,Account,PersonAccount,
a0Q1j000008hbn4EAA,Smlouvy ve výpovědi,true,SS bez doručené výpovědi,Search_Component_StSp,StateCode__c = '1' AND ContractTerminationDelivered__c != null,Asset,BuildingSavings,
a0Q1j000008hbn5EAA,Všichni klienti,true,Všechny fyzické osoby,Search_Component_Acc,PersonType__c = '1' AND AccountStatus__c != '5',Account,PersonAccount,
a0Q1j000008hbn6EAA,Klienti s KZ a bez běžného účtu ČSOB,true,"Klienti s aktivní KZ, kteří nemají BÚ ani ID u ČSOB",Search_Component_Acc,CurrentAccountCount__c <= 0 AND ClientZoneAccess__c like '%Plný%',Account,PersonAccount,
a0Q1j000008hbn7EAA,Klienti bez běžného účtu ČSOB,true,Klienti bez BÚ nebo ID u ČSOB,Search_Component_Acc,CurrentAccountCount__c < 1 AND AccountStatus__c != '5',Account,PersonAccount,
a0Q1j000008hbn8EAA,Klienti s předschváleným limitem SÚ,true,Všichni klienti s předschváleným limitem na SÚ ČSOB,Search_Component_Acc,CurrentPreApprovedAmount__c != null,Account,PersonAccount,
a0Q1j000008hbn9EAA,Aktivní ČSOB produkty,true,,CustomSearchCSOBproducts,(ProductType__c = '12' OR ProductType__c = '13') AND StateCode__c = '1',Asset,CSOBCurrentAccount,
a0Q1j000008hbnAEAQ,Aktivní hypotéky,true,,CustomSearchMortgage,ProductType__c = '11' AND StateCode__c = '1',Asset,Mortgages,
a0Q1j000008hbnBEAQ,Aktivní úvěrové případy,true,Všechny úvěrové případy,CustomSearchLoanCases,ProductType__c = '0' AND StateCode__c = '1',Asset,CreditCases,
a0Q1j000008hbnCEAQ,Aktivní ČSOB Půjčky,true,,CustomSearchCSOBProducts,ProductType__c = '12' AND StateCode__c = '1',Asset,CSOBCurrentAccount,
a0Q1j000008hbnDEAQ,Aktivní ČSOB účty,true,,CustomSearchCSOBProducts,ProductType__c = '13' AND StateCode__c = '1',Asset,CSOBCurrentAccount,
a0Q1j000008hbnEEAQ,Aktivní stavební spoření,true,Všechny smlouvy SS včetně MÚ,Search_Component_StSp,ProductType__c = '9' AND StateCode__c = '1',Asset,BuildingSavings,
a0Q1j000008hbnFEAQ,Aktivní ŽP,true,Všechny aktivní ŽP,CustomSearchZP,StateCode__c = '1',Asset,InvestmentLifeInsurance,
a0Q1j000008hbnGEAQ,Aktivní RŽP,true,,CustomSearchRZP,StateCode__c = '1',Asset,RiskLifeInsurance,
a0Q1j000008hbnHEAQ,Smlouvy bez RŽP,true,Smlouvy bez navázaného RŽP,CustomSearchMUU,"ProductSubtype__c IN ('1001','2002') AND StateCode__c = '1' AND HasRLIRelatedAsset__c = 0",Asset,CreditAndIntermediateLoan,
a0Q1j000008hbnIEAQ,Úvěry před splacením v příštích 365 dnech,false,,CustomSearchMUU,"ExpectedCreditEndDate__c = NEXT_N_DAYS:365 AND ProductSubtype__c IN ('1001','2002') AND Status__c IN ('0000')",Asset,CreditAndIntermediateLoan,
a0Q1j000008hbnJEAQ,Pozastavené úvěrové případy,true,"Úvěrové případy se statusem „pozastaveno""",CustomSearchLoanCases,ProductType__c = '0' AND Status__c = '10008',Asset,CreditCases,
a0Q1j000008hbnKEAQ,Aktivní penzijní produkty,true,,CustomSearchPS,StateCode__c='1',Asset,PensionProducts,
a0Q1j000008hbnLEAQ,Aktivní PMO,true,Všechny aktivní smlouvy,CustomSearchPMO,StateCode__c = '1',Asset,PMO,
