Name,RecordTypeId,FieldApiName__c,Filter__c,RelatedObject__c,ProductType__c,DisplayOrder__c,Errors,Id
Výše úvěru,0121X000005ITfhQAG,CreditAmount__c,<=;>=,Asset,Mortgages,,,a0Q1X000003L8rpUAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<;>,Asset,BuildingSavings,,,a0Q1X000003L8rqUAC
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,BuildingSavings,,,a0Q1X000003L8rrUAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,CSOBCurrentAccount,,,a0Q1X000003L8rsUAC
Datum naplnění podmínek (kvalita účtu),0121X000005ITfgQAG,ConditionFullfillmentDate__c,<=;>=,Asset,CSOBCurrentAccount,,,a0Q1X000003L8rtUAC
Datum předpokládaného přidělení,0121X000005ITfgQAG,AssignmentConditionsDate__c,<=;>=;=,Asset,BuildingSavings,,,a0Q1X000003L8ruUAC
Fixace sazby,0121X000005ITfgQAG,NearestReFixationDate__c,<=;>=;=,Asset,CreditCases,,,a0Q1X000003L8rvUAC
Vázací doba,0121X000005ITfgQAG,BindingPeriodDate__c,<;>;<=;>=;=,Asset,BuildingSavings,,,a0Q1X000003L8rwUAC
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Account,PersonAccount,,,a0Q1X000003L8rxUAC
Datum uzavření,0121X000005ITfgQAG,ProductCloseDate__c,<=;>=,Asset,CreditCases,,,a0Q1X000003L8ryUAC
Předpokládané ukončení úvěru,0121X000005ITfgQAG,ExpectedCreditEndDate__c,<=;>=,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8rzUAC
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=;=,Asset,CreditCases,,,a0Q1X000003L8s0UAC
Datum poslední interakce,0121X000005ITfgQAG,LastInteractionDate__c,<=;>=,Asset,CSOBCurrentAccount,,,a0Q1X000003L8s1UAC
Zbývá k čerpání,0121X000005ITfhQAG,RemainingDraw__c,<=;>=,Asset,CreditCases,,,a0Q1X000003L8s2UAC
Věk,0121X000005ITfhQAG,Age__c,<;>;<=;>=;=,Account,PersonAccount,,,a0Q1X000003L8s3UAC
Čisté vklady klienta,0121X000005ITfhQAG,NettoDeposit__c,<=;>=,Asset,BuildingSavings,,,a0Q1X000003L8s4UAC
Aktuální zůstatek,0121X000005ITfhQAG,CurrentBalance__c,<;>;<=;>=,Asset,BuildingSavings,,,a0Q1X000003L8s5UAC
Úroková sazba,0121X000005ITfhQAG,CurrentInterestRate__c,<=;>=;=,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8s6UAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,CSOBCurrentAccount,,,a0Q1X000003L8s7UAC
Věk klienta,0121X000005ITfhQAG,Age__c,<=;>=;=,Asset,CreditCases,,,a0Q1X000003L8s8UAC
Výše úvěru,0121X000005ITfhQAG,CreditAmount__c,<=;>=,Asset,CreditCases,,,a0Q1X000003L8s9UAC
Hodnotící číslo,0121X000005ITfhQAG,EvaluationNumber__c,<=;>=,Asset,BuildingSavings,,,a0Q1X000003L8sAUAS
Cílová částka,0121X000005ITfhQAG,TargetAmount__c,<;>;<=;>=;=,Asset,BuildingSavings,,,a0Q1X000003L8sBUAS
Aktuální stav programu,0121X000005ITfiQAG,ProgramStatus__c,contains,Asset,BuildingSavings,,,a0Q1X000003L8sCUAS
PSČ,0121X000005ITfiQAG,AccountPostalCode__c,exact match;start with,Asset,CreditCases,,,a0Q1X000003L8sDUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,CSOBCurrentAccount,,,a0Q1X000003L8sEUAS
Město klienta,0121X000005ITfiQAG,AccountCity__c,exact match;contains,Asset,CreditCases,,,a0Q1X000003L8sFUAS
Podtyp produktu,0121X000005ITfiQAG,ProductSubtype__c,exact match;contains,Asset,CreditAndIntermediateLoan,,,a0Q1X000003L8sGUAS
Podtyp produktu,0121X000005ITfiQAG,ProductSubtype__c,exact match;contains,Asset,CSOBCurrentAccount,,,a0Q1X000003L8sHUAS
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,CreditCases,,,a0Q1X000003L8sIUAS
Detailní stav,0121X000005ITfiQAG,Status__c,exact match;contains,Asset,CSOBCurrentAccount,,,a0Q1X000003L8sJUAS
